train,train_label,val,val_label
586543-5,0,534124-3,0
702520-3,0,531459-3,0
497770-3,0,542155-2,0
505261-3,0,650642-12,0
419397-3,0,574207-2,0
558695-4,0,560530-2,1
613468-4,0,594949-4,0
563635-3,0,554419-2,0
557289-5,0,642723-3,0
631619-2,0,506468-5,0
615331-2,0,536909-4,0
655040-3,1,479924-2,1
559583-3,0,446677-2,0
570382-7,0,747764-4,1
589667-1,1,513628-3,0
638738-2,0,510177-3,0
505035-3,0,618893-4,0
601677-4,0,641384-2,0
422810-1,0,574100-8,0
433508-2,0,480298-2,0
658543-5,1,602283-4,1
614315-3,0,358439-6,1
708151-4,1,598564-3,0
516821-4,0,730695-3,0
564122-2,0,632213-4,0
532016-2,0,557151-5,1
549510-2,0,572259-4,0
582984-4,0,724348-5,1
627407-3,0,590173-2,0
597472-2,1,685155-2,0
427343-14,0,751522-4,1
562135-12,0,519348-3,0
483440-1,0,560372-4,0
418217-1,0,545832-3,0
576418-7,0,605269-1,0
584336-15,0,444217-2,1
576233-3,0,555638-6,1
720204-4,0,483249-2,0
581587-6,0,414373-7,0
673269-1,0,510812-2,0
578992-3,0,621023-6,0
493341-2,0,572257-5,0
428229-2,1,585245-3,0
563037-2,1,604749-5,0
631485-4,1,450929-1,0
546410-5,0,674440-5,0
458615-4,0,569180-3,0
766419-5,0,547818-6,0
586683-3,0,533266-6,0
547624-10,0,541267-7,1
588758-4,0,576763-4,0
592005-3,0,623010-2,0
702589-4,0,540679-2,0
564005-3,0,494094-B1,0
608784-4,0,468840-3,0
642762-2,0,722762-2,0
674289-11,0,523563-2,1
419344-1,0,546242-3,1
556142-4,0,569263-1,0
607934-2,1,426123-5,0
633234-4,0,567744-15,0
580742-5,0,654473-4,1
547919-2,1,605475-3,0
755019-3,1,638130-1,0
517526-1,0,508646-3,0
571236-2,0,453888-1,0
673143-5,0,653853-2,0
624882-3,0,476177-3,1
713200-5,0,469228-4,0
546939-3,0,691973-2,1
688678-6,0,689843-5,1
560670-6,0,577059-10,1
570320-3,0,616947-5,0
505296-4,0,569190-2,0
583426-2,0,542719-B1,0
560773-4,0,643598-3,0
466172-2,0,525482-6,0
627970-9,1,634333-2,0
599799-3,0,567764-2,0
478193-2,0,485066-5,0
747250-5,0,541199-3,0
562153-2,0,638492-4,0
647157-3,0,542747-9,0
568340-13,1,465983-5,0
584201-2,0,552346-5,0
638031-2,0,555635-6,0
594780-4,0,519445-2,0
451017-2,1,575215-2,0
750158-3,0,709662-4,0
449900-1,0,723113-2,0
467547-6,0,523586-3,0
597029-2,0,751087-5,0
582057-4,1,630222-2,0
395452-6,1,543749-1,0
548332-4,1,608647-2,0
707517-4,1,597147-4,0
580550-2,0,543337-2,1
600039-5,0,609264-5,1
539152-3,0,574877-2,0
452108-2,0,560709-2,0
596238-3,0,615845-2,0
622420-10,0,654119-2,0
525191-6,0,746660-3,1
467594-2,0,554256-4,1
751971-4,0,531461-4,0
541853-2,0,485576-3,0
573483-2,0,624735-2,0
617097-4,1,709821-6,0
497411-2,0,707944-3,0
689720-2,0,568689-3,0
398646-6,1,603984-5,1
642483-3,0,652132-3,0
450925-1,0,427228-5,0
442525-5,1,637721-3,0
435227-2,0,658380-3,0
629088-4,0,628593-3,0
496588-3,0,,
536892-3,1,,
566938-2,0,,
626971-3,0,,
464898-4,1,,
546765-5,0,,
614327-8,0,,
599775-12,0,,
491741-5,0,,
687830-4,1,,
616679-3,0,,
750220-4,0,,
509463-2,0,,
559653-4,1,,
596142-4,0,,
748781-4,0,,
415465-2,0,,
514120-1,0,,
457891-2,0,,
616676-4,1,,
554246-6,0,,
611855-5,0,,
594258-3,0,,
494328-4,0,,
540773-1,0,,
530337-2,0,,
616209-3,0,,
560792-3,1,,
586846-1,0,,
588253-3,0,,
717654-4,0,,
619655-4,0,,
535593-2,0,,
649373-3,1,,
473057-2,0,,
743679-6,0,,
615807-3,0,,
577496-4,1,,
465195-7,0,,
499569-3,0,,
505969-2,0,,
749227-4,0,,
527228-9,0,,
403055-1,1,,
561345-3,1,,
532861-3,0,,
516185-4,0,,
582787-2,0,,
698580-4,0,,
643765-3,1,,
624448-4,0,,
553267-6,0,,
361847-3,1,,
546308-6,1,,
548730-2,0,,
740303-5,1,,
732715-2,0,,
